classifier,percentage,wfilter,measure,value
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,0.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,0.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,0.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,0.0
bayes,20%,True,precision,0.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,0.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,0.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,1.0
bayes,20%,True,precision,0.0
bayes,20%,True,precision,0.0
bayes,20%,True,recall,0.115044247788
bayes,20%,True,recall,0.309090909091
bayes,20%,True,recall,0.225225225225
bayes,20%,True,recall,0.27027027027
bayes,20%,True,recall,0.157894736842
bayes,20%,True,recall,0.396226415094
bayes,20%,True,recall,0.126126126126
bayes,20%,True,recall,0.140350877193
bayes,20%,True,recall,0.290909090909
bayes,20%,True,recall,0.339449541284
bayes,20%,True,recall,0.234234234234
bayes,20%,True,recall,0.263636363636
bayes,20%,True,recall,0.457943925234
bayes,20%,True,recall,0.236363636364
bayes,20%,True,recall,0.0260869565217
bayes,20%,True,recall,0.196428571429
bayes,20%,True,recall,0.116071428571
bayes,20%,True,recall,0.214285714286
bayes,20%,True,recall,0.095652173913
bayes,20%,True,recall,0.216216216216
bayes,20%,True,recall,0.6
bayes,20%,True,recall,0.205357142857
bayes,20%,True,recall,0.467289719626
bayes,20%,True,recall,0.71
bayes,20%,True,recall,0.548076923077
bayes,20%,True,recall,0.37037037037
bayes,20%,True,recall,0.552380952381
bayes,20%,True,recall,0.218181818182
bayes,20%,True,recall,0.314814814815
bayes,20%,True,recall,0.37037037037
bayes,20%,True,recall,0.438095238095
bayes,20%,True,recall,0.0
bayes,20%,True,recall,0.0769230769231
bayes,20%,True,recall,0.0
bayes,20%,True,recall,0.383177570093
bayes,20%,True,recall,0.518867924528
bayes,20%,True,recall,0.227272727273
bayes,20%,True,recall,0.0701754385965
bayes,20%,True,recall,0.37037037037
bayes,20%,True,recall,0.0689655172414
bayes,20%,True,recall,0.533333333333
bayes,20%,True,recall,0.207207207207
bayes,20%,True,recall,0.571428571429
bayes,20%,True,recall,0.0350877192982
bayes,20%,True,recall,0.425925925926
bayes,20%,True,recall,0.144144144144
bayes,20%,True,recall,0.339449541284
bayes,20%,True,recall,0.256637168142
bayes,20%,True,recall,0.130434782609
bayes,20%,True,recall,0.471698113208
bayes,20%,True,recall,0.0438596491228
bayes,20%,True,recall,0.125
bayes,20%,True,recall,0.0
bayes,20%,True,recall,0.225225225225
bayes,20%,True,recall,0.232142857143
bayes,20%,True,recall,0.00854700854701
bayes,20%,True,recall,0.556603773585
bayes,20%,True,recall,0.366972477064
bayes,20%,True,recall,0.3
bayes,20%,True,recall,0.216216216216
bayes,20%,True,recall,0.471698113208
bayes,20%,True,recall,0.433962264151
bayes,20%,True,recall,0.315315315315
bayes,20%,True,recall,0.287037037037
bayes,20%,True,recall,0.537735849057
bayes,20%,True,recall,0.3
bayes,20%,True,recall,0.383177570093
bayes,20%,True,recall,0.00854700854701
bayes,20%,True,recall,0.205357142857
bayes,20%,True,recall,0.234234234234
bayes,20%,True,recall,0.0
bayes,20%,True,recall,0.0
bayes,20%,True,recall,0.241071428571
bayes,20%,True,recall,0.609523809524
bayes,20%,True,recall,0.198198198198
bayes,20%,True,recall,0.095652173913
bayes,20%,True,recall,0.673267326733
bayes,20%,True,recall,0.311926605505
bayes,20%,True,recall,0.490566037736
bayes,20%,True,recall,0.106194690265
bayes,20%,True,recall,0.16814159292
bayes,20%,True,recall,0.150442477876
bayes,20%,True,recall,0.0
bayes,20%,True,recall,0.238938053097
bayes,20%,True,recall,0.348623853211
bayes,20%,True,recall,0.034188034188
bayes,20%,True,recall,0.339449541284
bayes,20%,True,recall,0.0796460176991
bayes,20%,True,recall,0.439252336449
bayes,20%,True,recall,0.196428571429
bayes,20%,True,recall,0.0
bayes,20%,True,recall,0.281818181818
bayes,20%,True,recall,0.287037037037
bayes,20%,True,recall,0.556603773585
bayes,20%,True,recall,0.425925925926
bayes,20%,True,recall,0.439252336449
bayes,20%,True,recall,0.640776699029
bayes,20%,True,recall,0.0973451327434
bayes,20%,True,recall,0.0
bayes,20%,True,recall,0.0
bayes,20%,True,f1_score,0.206349206349
bayes,20%,True,f1_score,0.472222222222
bayes,20%,True,f1_score,0.367647058824
bayes,20%,True,f1_score,0.425531914894
bayes,20%,True,f1_score,0.272727272727
bayes,20%,True,f1_score,0.567567567568
bayes,20%,True,f1_score,0.224
bayes,20%,True,f1_score,0.246153846154
bayes,20%,True,f1_score,0.450704225352
bayes,20%,True,f1_score,0.506849315068
bayes,20%,True,f1_score,0.379562043796
bayes,20%,True,f1_score,0.41726618705
bayes,20%,True,f1_score,0.628205128205
bayes,20%,True,f1_score,0.382352941176
bayes,20%,True,f1_score,0.0508474576271
bayes,20%,True,f1_score,0.328358208955
bayes,20%,True,f1_score,0.208
bayes,20%,True,f1_score,0.352941176471
bayes,20%,True,f1_score,0.174603174603
bayes,20%,True,f1_score,0.355555555556
bayes,20%,True,f1_score,0.75
bayes,20%,True,f1_score,0.340740740741
bayes,20%,True,f1_score,0.636942675159
bayes,20%,True,f1_score,0.830409356725
bayes,20%,True,f1_score,0.708074534161
bayes,20%,True,f1_score,0.540540540541
bayes,20%,True,f1_score,0.711656441718
bayes,20%,True,f1_score,0.358208955224
bayes,20%,True,f1_score,0.478873239437
bayes,20%,True,f1_score,0.540540540541
bayes,20%,True,f1_score,0.609271523179
bayes,20%,True,f1_score,0.0
bayes,20%,True,f1_score,0.142857142857
bayes,20%,True,f1_score,0.0
bayes,20%,True,f1_score,0.554054054054
bayes,20%,True,f1_score,0.683229813665
bayes,20%,True,f1_score,0.37037037037
bayes,20%,True,f1_score,0.131147540984
bayes,20%,True,f1_score,0.540540540541
bayes,20%,True,f1_score,0.129032258065
bayes,20%,True,f1_score,0.695652173913
bayes,20%,True,f1_score,0.34328358209
bayes,20%,True,f1_score,0.727272727273
bayes,20%,True,f1_score,0.0677966101695
bayes,20%,True,f1_score,0.597402597403
bayes,20%,True,f1_score,0.251968503937
bayes,20%,True,f1_score,0.506849315068
bayes,20%,True,f1_score,0.408450704225
bayes,20%,True,f1_score,0.230769230769
bayes,20%,True,f1_score,0.641025641026
bayes,20%,True,f1_score,0.0840336134454
bayes,20%,True,f1_score,0.222222222222
bayes,20%,True,f1_score,0.0
bayes,20%,True,f1_score,0.367647058824
bayes,20%,True,f1_score,0.376811594203
bayes,20%,True,f1_score,0.0169491525424
bayes,20%,True,f1_score,0.715151515152
bayes,20%,True,f1_score,0.536912751678
bayes,20%,True,f1_score,0.461538461538
bayes,20%,True,f1_score,0.355555555556
bayes,20%,True,f1_score,0.641025641026
